ABAD| abad. m y f. El que dirige una abadía o monasterio.
MACANA| macana. f. Amér. Arma ofensiva de diferentes formas que usaban los indios americanos.  Arg. y Urug. Disparate, embuste. macanudo  macanudo, da. adj. amer. Grande, extraordinario.  Excelente.
MACETA| maceta. f. Vaso de barro cocido para criar plantas. Martillo pesado de dos bocas iguales.
MACHETE| machete. m. Arma corta, ancha, pesada y de un solo filo. Cuchillo grande que sirve para cortar el tronco de los árboles, la caña de azúcar y abrirse paso en la maleza.
MACH| mach. m. Unidad de velocidad aplicada generalmente a los aviones y que equivale a la del sonido.
MACHO| macho. m. Animal o planta del sexo masculino.  Mulo.  adj. Fuerte, vigoroso, valiente. machucar  machucar tr. Herir, golpear una cosa con otra, maltratándola. macilento  macilento, ta. adj. Flaco, pálido, descolorido, triste. macizo  macizo, za. adj. Lleno, sin huecos; sólido.  Bien fundado, basado en razones verdaderas  m. Prominencia de terreno o grupo de montañas.  Cantero de los jardines. macrocéfalo  macrocéfalo, la. adj. Que tiene la cabeza demasiado grande con relación al cuerpo.
MÁCULA| mácula. f. Mancha.  Cosa que deslustra y afea. Engaño, trampa.
MADEJA| madeja. f. Manojo de hilo de seda, lana o algodón recogido en vueltas iguales.
MADERA| madera. f. Parte sólida de los árboles debajo de la corteza. maderaje y maderamen. m. Conjunto de maderas empleadas en la construcción de un edificio o de otra obra.
MADRAZA| madraza. f. fam. Madre muy condescendiente y que mima mucho a sus hijos.
MADRE| madre. f. Mujer que ha tenido hijos.  Hembra de los animales con cría.  Título que se da a las religiosas. Causa, origen de una cosa.  Cauce o lecho de un río.
MADRINA| madrina. f. Mujer que asiste en el sacramento del bautismo, matrimonio o al profesar una religiosa.  La que protege o favorece a una persona. La designada para romper una botella de champaña en el casco de una embarcación al ser botada.  Poste de madera. Yegua que sirve de guía a una tropilla de caballos.
MADURAR| madurar. tr. Volver maduro, dar sazón a los frutos. Meditar detenidamente.  Ir adquiriendo sazón los frutos.  Adquirir una persona juicio y madurez.
MAESTRA| maestra. f. Mujer que enseña.  Cosa que enseña.
MAESTRE| maestre. m. Superior de algunas órdenes militares  Encargado del personal inferior de un buque mercante.
MAFIA| mafia. f. Organización clandestina de criminales. Engaño, trampa.
MAGIA| magia. f. Arte de hacer cosas extraordinarias y lograr por medio de operaciones ocultas efectos en apariencia contrarios a las leyes naturales.  Encanto, atractivo de una cosa.
MAGNETO| magneto. f. Generador de electricidad de afta potencia. magnificar  magnificar tr. Engrandecer, alabar, ensalzar. magnificencia. f. Disposición para realizar grandes gastos e intentar grandes empresas. Ostentación, grandeza. magnífico  magnífico, ca. adj. Muy hermoso, espléndido, suntuoso.
MAÍZ| maíz. m. Planta gramínea originaria de México que produce mazorcas de granos muy nutritivos.  Grano de esta planta.
MAJADA| majada. f. Lugar donde se recoge el ganado. Arg. Manada de ganado lanar. majadero  majadero, ra. adj. fig. Necio y porfiado.
MALARIA| malaria. f. Fiebre palúdica, paludismo.
MALAR| malar. adj. Perteneciente a la mejilla. i I m. Prominencia y hueso de cada mejilla. malayo  malayo, ya. adj. Individuo de raza morena, baja estatura, que se halla esparcida en el sur de Asia y las islas de Oceanía.
MALDAD| maldad. f. Calidad de malo.  Acción mala e injusta.
MALECÓN| malecón. m. Murallón o terraplén que se hace contra las aguas.
MALETA| maleta. f. Valija.
MALEZA| maleza. f. Abundancia de malas hierbas que perjudican los sembrados. Espesura formada por gran cantidad de arbustos.
MALICIA| malicia. f. Calidad de malo.  Inclinación a lo malo. Propensión a pensar mal.
MALLA| malla. f. Cada cuadrilátero del tejido de una red.  Arg. Traje de baño.
MAL| mal. adj. Malo, que se aparta de lo lícito y honesto. m. Daño, ; desgracia, enfermedad.  adv. m. Lo contrario de bien malograr  malograr tr. Perder algo, no aprovecharlo. prnl. Frustrarse, no obtener lo que se pretendía.  No llegar una persona o cosa a su natural desarrollo. malo  malo, la. adj. Que carece de la bondad que debe tener, según su naturaleza. Dañoso a la salud.  Opuesto a la razón o a la ley.  Enfermo. Desagradable, molesto. Dificultoso.  fam. Travieso.
MALÓN| malón. m. Amér. del Sur. Se decía de la irrupción o ataque inesperado de indios. malparado  malparado, da. adj. Que ha sufrido algún contratiempo.
MALTA| malta. f. Cebada tostada.
MALVA| malva. f. Planta de las malváceas, de tallo áspero, hojas de pecíolo largo y flores moradas.
MAMA| mama. f. fam. Madre, en el lenguaje de los niños.  Teta de los mamíferos.
MAMÁ| mamá. f. fam. Mama, madre.
MAMAR| mamar. tr. Succionar la leche de los pechos.
MAMPARA| mampara. f. Cancel, movible, con bastidor de madera y cubierto de piel o tela.
MAMUT| mamut. m. Especie de elefante fósil de la era cuaternaria. Su piel estaba cubierta de pelo áspero y largo.
MANADA| manada. f. Rebaño de ganado que cuida un pastor.  Conjunto de animales de una misma especie que andan reunidos.
MANÁ| maná. m. Mana. Líquido azucarado que fluye de algunas plantas.  Se dice del bien llegado en forma imprevista.
MANAR| manar. intr. Brotar un líquido. Abundar.
MANCAR| mancar. tr. Lisiar, herir en las manos o en otros miembros, imposibilitando su uso.
MANCEBO| mancebo. m. Muchacho.  Hombre soltero.
MANCHA| mancha. f. Señal de suciedad.  Parte de una cosa de distinto color que el resto.
MANCHAR| manchar. tr. Ensuciar.  fig. Deslustrar la fama de alguien, deshonrar.
MANDAR| mandar. tr. Ordenar.  Imponer. Legar en testamento. Enviar. Encargar.
MANDATO| mandato. m. Orden o precepto. Encargo.
MANDO| mando. m. Autoridad y poder del que manda. mandón  mandón, na. adj. Que manda más de lo que debe.
MANEAR| manear. tr. Poner maneas a una caballería; atarle las manos.
MANEJAR| manejar. tr. Dirigir. conducir, guiar.
MANERA| manera. f. Modo y forma con que se realiza o sucede una cosa.  pl. Modales de una persona.
MANES| manes. m. pl. Entre los romanos, almas de los muertos consideradas como divinidades.
MANGA| manga. f. Parte del vestido que cubre el brazo. Red redonda para pescar, esparavel.  Tela cónica para colar líquidos.  La misma, un poco mayor, y con boquillas cambiables, que se usan en repostería.  de agua, columna de agua que se eleva desde el mar con movimientos giratorios. de langostas, conjunto o nube de estos insectos.
MANGAR| mangar. tr. Pedir, mendigar.
MANGO| mango. m. Parte por donde se toma un instrumento o utensilio. Árbol de las anacardiáceas, de regiones tropicales.  Su fruto.
MANÍA| manía. f. Especie de locura. Idea fija. Deseo desordenado. maniatar  maniatar tr. Atar las manos. maniático  maniático, ca. adj. Que tiene manías.
MANIJA| manija. f. Manubrio, mango de utensilios.
MANÍ| maní. m. Amér Cacahuete. planta.  Su fruto.
MANIQUÍ| maniquí. m. Figura humana que puede colocarse en diversas actitudes.  Armazón con forma de cuerpo humano usada para probar prendas de vestir. Mujer u hombre que exhibe vestimentas. manirroto  manirroto, ta. adj. Pródigo, dadivoso, derrochador.
MANJAR| manjar. m. Cualquier alimento. fig. Recreo o deleite que fortalece el espíritu.
MANOJO| manojo. m. Haz de cosas que puede tomar la mano. fig.  Abundancia de cosas, conjunto.
MANO| mano. f. Parte del brazo comprendida desde la muñeca inclusive hasta la punta de los dedos.  En los cuadrúpedos, cualquiera de las dos patas delanteras. Trompa del elefante.  Capa de pintura sobre una pared.  En el juego, el primero en el orden de los que juegan.  fig. Vez o vuelta en alguna labor material.  Habilidad.
MANOPLA| manopla. f. Pieza de metal en forma de eslabón con cuatro agujeros para meter cuatro dedos que se usa para golpear.
MANSIÓN| mansión. f. Permanencia o estadía en alguna parte. Morada, albergue. manso  manso, sa. adj. Benévolo, suave. Dícese de los animales que no son bravos. fig. Apacible, sosegado.
MANTA| manta. f. Prenda cuadrada de lana o algodón que sirve como abrigo en la cama o fuera de ella. Frazada.
MANTEAR| mantear. tr. Lanzar a alguien por los aires, puesto sobre una manta.
MANTECA| manteca. f. Sustancia grasa de la leche de la vaca obtenida por el batido, y de varios frutos, como el cacao.
MANTEL| mantel. m. Cubierta de tela o de otro material que se pone sobre la mesa para comer. mantener  mantener tr. Proveer a una persona del alimento necesario.  tr. Conservar algo, darle vigor y permanencia. Sostener una cosa para que no se caiga o tuerza. Defender una idea.
MANTO| manto. m. Capa, abrigo.  fig. Lo que encubre y oculta algo.
MANUAL| manual. adj. Que se ejecuta con las manos. Manuable.  Que exige más habilidad de manos que inteligencia.  m. Libro en que se compendia lo más sustancioso de una o más materias.
MANZANA| manzana. f. Fruto del manzano, de forma globosa y algo hundida en los extremos del eje. Es de sabor ácido o ligeramente dulce.  Arg. y Chile. Espacio cuadrado de terreno rodeado por calles.
MAÑA| maña. f. Destreza, habilidad, astucia. Vicio, mala costumbre. 
MAÑANA| mañana. f. Tiempo transcurrido desde el amanecer hasta el mediodía.  Espacio de tiempo desde la medianoche hasta el mediodía.  m. El tiempo futuro.  adv. t. El día siguiente al de hoy.   mañanero  mañanero, ra. adj. Madrugador.
MAPA| mapa. m. Representación geográfica de la Tierra o parte de ella.
MAPUCHE| mapuche. m. Natural de Arauco, Chile. Perteneciente a esta zona o provincia.  Idioma de los araucanos.
MAQUETA| maqueta. f. Modelo pequeño de una obra escultórica o de un edificio. maquiavélico  maquiavélico, ca. adj. Astuto, hipócrita.
MÁQUINA| máquina. f. Conjunto de aparatos combinados para recibir cierta forma de energía, transformarla y restituirla en otra más adecuada o para producir un efecto ya previsto.
MARACA| maraca. f. Instrumento musical que consiste en una calabaza con granos de maíz en el interior que se usa para acompañar el canto. Los hay de otros materiales.
MARAÑA| maraña. f. Lugar cubierto de maleza. fig. Enredo de hilos o del cabello.
MARATÓN| maratón. f. Carrera pedestre de resistencia.
MARBETE| marbete. m. Etiqueta, rótulo.  Orilla, perfil, filete.
MARCA| marca. f. Señal que se pone en una cosa para reconocerla. marcar  marcar tr. Señalar, poner una marca a una persona, cosa o animal para que se reconozca o para indicar calidad o pertenencia.  Determinar una marcación. Poner precios.  En juego, contrarrestar a un adversario.
MARCHA| marcha. f. Acción de marchar. Velocidad de un barco, locomotora u otro vehículo. Pieza musical con ritmo determinado para indicar el paso de las tropas.
MARCHAR| marchar. tr. Caminar, andar de un modo regular. Partir.  Andar un aparato o artefacto.
MARCIAL| marcial. adj. Perteneciente a la guerra. fig. Bizarro, varonil.  Se dice de la ley que se aplica entre los civiles en una ciudad o país luego de declarado el estado de guerra marciano  marciano, na. adj. Relativo al planeta Marte. m. Habitante que se supone vive en Marte.
MAREA| marea. f. Movimiento alternativo y periódico de las aguas del mar.
MAREAR| marear. tr. Poner en movimiento una embarcación en el mar.  fig. fam. Molestar, embrollar.  prnl. Turbarse, sentir vueltas en la cabeza y malestar en el estómago a causa del movimiento de un buque, avión, etc., o por efectos de una enfermedad.
MAREO| mareo. m. Efecto de marearse. fig. Molestia, ajetreo.
MARFIL| marfil. m. Sustancia dura y blanquecina que recubre los dientes de los animales. Los incisivos de los elefantes tienen mucho marfil y se utilizan para hacer tallas.  Esas tallas.
MARGEN| margen. amb. Extremidad u orilla de una cosa. Beneficio que se puede obtener en un negocio teniendo en cuenta lo que cuesta un producto y el precio al que se vende.  loc. Al margen, que está fuera de lo que se trata.
MARICA| marica. f. Picaza, urraca.  m. fig. y fam. Afeminado.
MARICÓN| maricón. m. Hombre afeminado, marica. Invertido.
MARIDO| marido. m. Hombre casado, con respecto a su mujer. mariguana  mariguana o marihuana. f. Nombre del cáñamo índico, cuyas hojas fumadas como tabaco producen terrible efecto narcótico.
MARIMBA| marimba. f. Especie de tambor usado por los negros en África.  Amér. Instrumento musical en que se percuten listones de madera, como en el xilófono.
MARINA| marina. f. Parte de tierra junto al mar.  Cuadro o pintura que representa al mar.  Arte que enseña a navegar.  Conjunto de embarcaciones y buques de una nación.  de guerra, conjunto de personas y buques de la Armada.  mercante, conjunto de personas y buques destinados al comercio de un país. marinero  marinero, ra. m. Hombre de mar que sirve en los barcos.  adj. Se dice de las embarcaciones que se pueden maniobrar con facilidad.
MARISCO| marisco. m. Cualquier animal marino invertebrado comestible como los langostinos, etc.
MARISTA| marista. adj. Religioso del Instituto de los Hermanos Maristas de la Enseñanza. marítimo  marítimo, ma. adj. Perteneciente al mar.
MARLO| marlo. m. Resto de la espiga una vez desgranado el maíz.  Raspa. mar  mar amb. Gran masa de agua salada que cubre la mayor parte del globo terráqueo. Porción determinada de esta masa líquida. fig. Abundancia extraordinaria de una cosa.
MARMITA| marmita. f. Olla de metal con tapa ajustada y una o dos asas, o sin ellas.
MÁRMOL| mármol. m. Piedra caliza de origen metamórfico que puede pulirse. Se usa para hacer obras de arte, estatuas, adornos, etc. fig. Obra artística de mármol.
MARMOTA| marmota. f. Mamífero roedor de Europa que pasa el invierno durmiendo en su madriguera.  fig. Persona que duerme mucho.
MAROMA| maroma. f. Cuerda gruesa, soga.
MARQUÉS| marqués. m. Antiguamente, señor de una marca, tierra situada en las fronteras de un reino. Hoy, título de nobleza.
MARRANO| marrano. m. Cerdo. fig. y fam. Hombre sucio y desaseado.
MARRAR| marrar. intr. Errar, equivocar.  fig. Desviarse de lo recto.
MARRAS| marras. adv. t. En tiempo pasado. loc. adv., de marras, en ocasión pasada, lo ya conocido
MARRÓN| marrón. adj. De color castaño. Dícese de las prendas de vestir, pero no del cabello de las personas ni del pelo de los animales.
MARTE| Marte. n. p. m. Planeta de nuestro sistema solar más pequeño que la Tierra.  Entre los romanos, dios de la guerra.
MARTES| martes. m. Tercer día de la semana.
MARZO| marzo. m. Tercer mes del año. Consta de treinta y un días.
MASAJE| masaje. m. Fricción en el cuerpo con un fin medicinal.
MASA| masa. f. Pasta preparada mezclando un líquido con una sustancia en polvo. Cantidad de materia que tiene un cuerpo. Muchedumbre.
MÁSCARA| máscara. f. Figura de cartón pintado o de otros materiales colocada sobre el rostro para disfrazarse.  Careta usada en diversos oficios.  fig. Pretexto, disfraz.
MASCAR| mascar. tr. Desmenuzar alimentos con la dentadura.
MASCOTA| mascota. f. Persona, animal o cosa que trae buena suerte. masculino  masculino, na. adj. Dícese del ser que tiene órganos para fecundar.  Varonil, enérgico.
